Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling
2010,47,220,245,363,3,1370,139,155,555,1915,7228,518,82,10535,144
2011,43,294,259,324,9,1538,118,142,589,2050,6766,358,77,10405,88
2012,66,222,264,388,11,1637,149,136,592,2240,8296,284,94,8345,99
2013,47,241,270,338,37,1631,165,203,534,2196,7077,242,387,7927,106
2014,47,265,262,332,7,1611,176,104,650,2130,6219,225,104,7063,222
2015,45,205,239,226,26,1550,146,118,642,1711,5795,263,195,8365,201
2016,23,131,165,217,1,1651,103,72,547,1516,5407,244,88,9627,108
2017,20,103,218,202,7,1779,85,132,554,1197,5315,157,108,13638,115
2018,17,83,216,216,17,1782,75,236,613,1290,5708,155,354,16215,173
2019,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14